graph_hex,layout_idx,grid_spacing,env_size,radius,all_positionings_planar,layout_planar,graph_poss,adj_m,eucd_m,wspd_m
1024C905,0,110,"[900, 900]",410.0,False,False,"[(660, 770), (440, 110), (110, 440), (770, 440), (660, 440), (220, 330), (550, 550), (440, 220)]","[[0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 1, 0, 0, 1], [0, 0, 0, 1, 0, 0, 1, 0], [0, 0, 1, 0, 0, 1, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 1, 0], [0, 0, 1, 0, 0, 1, 0, 1], [1, 1, 0, 0, 0, 0, 1, 0]]","[[0.0, 695.7010852370435, 641.404708432983, 347.85054261852173, 330.0, 622.2539674441618, 245.96747752497686, 592.3681287847954], [695.7010852370435, 0.0, 466.6904755831214, 466.6904755831214, 396.6106403010388, 311.1269837220809, 453.54161881794266, 110.0], [641.404708432983, 466.6904755831214, 0.0, 660.0, 550.0, 155.56349186104046, 453.54161881794266, 396.6106403010388], [347.85054261852173, 466.6904755831214, 660.0, 0.0, 110.0, 560.8921464952064, 245.96747752497686, 396.6106403010388], [330.0, 396.6106403010388, 550.0, 110.0, 0.0, 453.54161881794266, 155.56349186104046, 311.1269837220809], [622.2539674441618, 311.1269837220809, 155.56349186104046, 560.8921464952064, 453.54161881794266, 0.0, 396.6106403010388, 245.96747752497686], [245.96747752497686, 453.54161881794266, 453.54161881794266, 245.96747752497686, 155.56349186104046, 396.6106403010388, 0.0, 347.85054261852173], [592.3681287847954, 110.0, 396.6106403010388, 396.6106403010388, 311.1269837220809, 245.96747752497686, 347.85054261852173, 0.0]]","[[0.0, 702.3681287847954, 1393.7602902212598, 1897.7214581995622, 1098.9787690858343, 1336.8293117043559, 940.2186714033171, 592.3681287847954], [702.3681287847954, 0.0, 911.3921614364644, 1415.353329414767, 396.6106403010388, 854.4611829195605, 457.85054261852173, 110.0], [1393.7602902212598, 911.3921614364644, 0.0, 660.0, 1308.0028017375032, 850.1522591189814, 453.54161881794266, 801.3921614364644], [1897.7214581995622, 1415.353329414767, 660.0, 0.0, 1811.9639697158057, 560.8921464952064, 957.5027867962451, 1305.353329414767], [1098.9787690858343, 396.6106403010388, 1308.0028017375032, 1811.9639697158057, 0.0, 1251.0718232205993, 854.4611829195605, 506.6106403010388], [1336.8293117043559, 854.4611829195605, 850.1522591189814, 560.8921464952064, 1251.0718232205993, 0.0, 396.6106403010388, 744.4611829195605], [940.2186714033171, 457.85054261852173, 453.54161881794266, 957.5027867962451, 854.4611829195605, 396.6106403010388, 0.0, 347.85054261852173], [592.3681287847954, 110.0, 801.3921614364644, 1305.353329414767, 506.6106403010388, 744.4611829195605, 347.85054261852173, 0.0]]"
1024C905,1,110,"[900, 900]",410.0,False,False,"[(660, 110), (660, 660), (330, 550), (110, 660), (440, 440), (440, 770), (660, 550), (110, 440)]","[[0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 1, 0, 0, 1], [0, 0, 0, 1, 0, 0, 1, 0], [0, 0, 1, 0, 0, 1, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 1, 0], [0, 0, 1, 0, 0, 1, 0, 1], [1, 1, 0, 0, 0, 0, 1, 0]]","[[0.0, 550.0, 550.0, 777.8174593052023, 396.6106403010388, 695.7010852370435, 440.0, 641.404708432983], [550.0, 0.0, 347.85054261852173, 550.0, 311.1269837220809, 245.96747752497686, 110.0, 592.3681287847954], [550.0, 347.85054261852173, 0.0, 245.96747752497686, 155.56349186104046, 245.96747752497686, 330.0, 245.96747752497686], [777.8174593052023, 550.0, 245.96747752497686, 0.0, 396.6106403010388, 347.85054261852173, 560.8921464952064, 220.0], [396.6106403010388, 311.1269837220809, 155.56349186104046, 396.6106403010388, 0.0, 330.0, 245.96747752497686, 330.0], [695.7010852370435, 245.96747752497686, 245.96747752497686, 347.85054261852173, 330.0, 0.0, 311.1269837220809, 466.6904755831214], [440.0, 110.0, 330.0, 560.8921464952064, 245.96747752497686, 311.1269837220809, 0.0, 560.8921464952064], [641.404708432983, 592.3681287847954, 245.96747752497686, 220.0, 330.0, 466.6904755831214, 560.8921464952064, 0.0]]","[[0.0, 1233.7728372177785, 1532.2968549281895, 1778.2643324531664, 1544.8998209398594, 1513.4238386502702, 1202.2968549281895, 641.404708432983], [1233.7728372177785, 0.0, 1483.2602752800017, 1729.2277528049785, 311.1269837220809, 1464.3872590020828, 1153.2602752800017, 592.3681287847954], [1532.2968549281895, 1483.2602752800017, 0.0, 245.96747752497686, 1794.3872590020828, 593.8180201434986, 330.0, 890.8921464952064], [1778.2643324531664, 1729.2277528049785, 245.96747752497686, 0.0, 2040.3547365270597, 347.85054261852173, 575.9674775249769, 1136.8596240201832], [1544.8998209398594, 311.1269837220809, 1794.3872590020828, 2040.3547365270597, 0.0, 1775.5142427241635, 1464.3872590020828, 903.4951125068764], [1513.4238386502702, 1464.3872590020828, 593.8180201434986, 347.85054261852173, 1775.5142427241635, 0.0, 311.1269837220809, 872.0191302172873], [1202.2968549281895, 1153.2602752800017, 330.0, 575.9674775249769, 1464.3872590020828, 311.1269837220809, 0.0, 560.8921464952064], [641.404708432983, 592.3681287847954, 890.8921464952064, 1136.8596240201832, 903.4951125068764, 872.0191302172873, 560.8921464952064, 0.0]]"
1024C905,2,110,"[900, 900]",410.0,False,False,"[(770, 550), (660, 770), (220, 660), (770, 440), (220, 330), (220, 220), (330, 770), (330, 660)]","[[0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 1, 0, 0, 1], [0, 0, 0, 1, 0, 0, 1, 0], [0, 0, 1, 0, 0, 1, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 1, 0], [0, 0, 1, 0, 0, 1, 0, 1], [1, 1, 0, 0, 0, 0, 1, 0]]","[[0.0, 245.96747752497686, 560.8921464952064, 110.0, 592.3681287847954, 641.404708432983, 491.9349550499537, 453.54161881794266], [245.96747752497686, 0.0, 453.54161881794266, 347.85054261852173, 622.2539674441618, 704.3436661176133, 330.0, 347.85054261852173], [560.8921464952064, 453.54161881794266, 0.0, 592.3681287847954, 330.0, 440.0, 155.56349186104046, 110.0], [110.0, 347.85054261852173, 592.3681287847954, 0.0, 560.8921464952064, 592.3681287847954, 550.0, 491.9349550499537], [592.3681287847954, 622.2539674441618, 330.0, 560.8921464952064, 0.0, 110.0, 453.54161881794266, 347.85054261852173], [641.404708432983, 704.3436661176133, 440.0, 592.3681287847954, 110.0, 0.0, 560.8921464952064, 453.54161881794266], [491.9349550499537, 330.0, 155.56349186104046, 550.0, 453.54161881794266, 560.8921464952064, 0.0, 110.0], [453.54161881794266, 347.85054261852173, 110.0, 491.9349550499537, 347.85054261852173, 453.54161881794266, 110.0, 0.0]]","[[0.0, 801.3921614364644, 719.1051106789831, 1311.4732394637786, 1423.6461288806263, 1124.433765313149, 563.5416188179427, 453.54161881794266], [801.3921614364644, 0.0, 613.4140344795621, 1205.7821632643577, 622.2539674441618, 1018.7426891137281, 457.85054261852173, 347.85054261852173], [719.1051106789831, 613.4140344795621, 0.0, 592.3681287847954, 1235.6680019237242, 716.4556383562468, 155.56349186104046, 265.56349186104046], [1311.4732394637786, 1205.7821632643577, 592.3681287847954, 0.0, 1828.0361307085195, 592.3681287847954, 747.9316206458359, 857.9316206458359], [1423.6461288806263, 622.2539674441618, 1235.6680019237242, 1828.0361307085195, 0.0, 1640.99665655789, 1080.1045100626836, 970.1045100626836], [1124.433765313149, 1018.7426891137281, 716.4556383562468, 592.3681287847954, 1640.99665655789, 0.0, 560.8921464952064, 670.8921464952064], [563.5416188179427, 457.85054261852173, 155.56349186104046, 747.9316206458359, 1080.1045100626836, 560.8921464952064, 0.0, 110.0], [453.54161881794266, 347.85054261852173, 265.56349186104046, 857.9316206458359, 970.1045100626836, 670.8921464952064, 110.0, 0.0]]"
1024C905,3,110,"[900, 900]",410.0,False,False,"[(660, 770), (110, 660), (330, 330), (440, 110), (550, 660), (220, 220), (550, 770), (770, 220)]","[[0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 1, 0, 0, 1], [0, 0, 0, 1, 0, 0, 1, 0], [0, 0, 1, 0, 0, 1, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 1, 0], [0, 0, 1, 0, 0, 1, 0, 1], [1, 1, 0, 0, 0, 0, 1, 0]]","[[0.0, 560.8921464952064, 550.0, 695.7010852370435, 155.56349186104046, 704.3436661176133, 110.0, 560.8921464952064], [560.8921464952064, 0.0, 396.6106403010388, 641.404708432983, 440.0, 453.54161881794266, 453.54161881794266, 793.2212806020776], [550.0, 396.6106403010388, 0.0, 245.96747752497686, 396.6106403010388, 155.56349186104046, 491.9349550499537, 453.54161881794266], [695.7010852370435, 641.404708432983, 245.96747752497686, 0.0, 560.8921464952064, 245.96747752497686, 669.1038783328041, 347.85054261852173], [155.56349186104046, 440.0, 396.6106403010388, 560.8921464952064, 0.0, 550.0, 110.0, 491.9349550499537], [704.3436661176133, 453.54161881794266, 155.56349186104046, 245.96747752497686, 550.0, 0.0, 641.404708432983, 550.0], [110.0, 453.54161881794266, 491.9349550499537, 669.1038783328041, 110.0, 641.404708432983, 0.0, 592.3681287847954], [560.8921464952064, 793.2212806020776, 453.54161881794266, 347.85054261852173, 491.9349550499537, 550.0, 592.3681287847954, 0.0]]","[[0.0, 1354.1134270972839, 1645.1952303299554, 1891.1627078549323, 1794.1134270972839, 1794.6649837129848, 1153.2602752800017, 560.8921464952064], [1354.1134270972839, 0.0, 1877.5243644368265, 2123.4918419618034, 440.0, 2026.994117819856, 1385.589409386873, 793.2212806020776], [1645.1952303299554, 1877.5243644368265, 0.0, 245.96747752497686, 2317.5243644368265, 491.9349550499537, 491.9349550499537, 1084.303083834749], [1891.1627078549323, 2123.4918419618034, 245.96747752497686, 0.0, 2563.4918419618034, 245.96747752497686, 737.9024325749306, 1330.270561359726], [1794.1134270972839, 440.0, 2317.5243644368265, 2563.4918419618034, 0.0, 2466.994117819856, 1825.5894093868728, 1233.2212806020775], [1794.6649837129848, 2026.994117819856, 491.9349550499537, 245.96747752497686, 2466.994117819856, 0.0, 641.404708432983, 1233.7728372177785], [1153.2602752800017, 1385.589409386873, 491.9349550499537, 737.9024325749306, 1825.5894093868728, 641.404708432983, 0.0, 592.3681287847954], [560.8921464952064, 793.2212806020776, 1084.303083834749, 1330.270561359726, 1233.2212806020775, 1233.7728372177785, 592.3681287847954, 0.0]]"
1024C905,4,110,"[900, 900]",410.0,False,False,"[(660, 330), (220, 220), (330, 660), (440, 330), (550, 220), (770, 550), (330, 770), (330, 220)]","[[0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 1, 0, 0, 1], [0, 0, 0, 1, 0, 0, 1, 0], [0, 0, 1, 0, 0, 1, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 1, 0], [0, 0, 1, 0, 0, 1, 0, 1], [1, 1, 0, 0, 0, 0, 1, 0]]","[[0.0, 453.54161881794266, 466.6904755831214, 220.0, 155.56349186104046, 245.96747752497686, 550.0, 347.85054261852173], [453.54161881794266, 0.0, 453.54161881794266, 245.96747752497686, 330.0, 641.404708432983, 560.8921464952064, 110.0], [466.6904755831214, 453.54161881794266, 0.0, 347.85054261852173, 491.9349550499537, 453.54161881794266, 110.0, 440.0], [220.0, 245.96747752497686, 347.85054261852173, 0.0, 155.56349186104046, 396.6106403010388, 453.54161881794266, 155.56349186104046], [155.56349186104046, 330.0, 491.9349550499537, 155.56349186104046, 0.0, 396.6106403010388, 592.3681287847954, 220.0], [245.96747752497686, 641.404708432983, 453.54161881794266, 396.6106403010388, 396.6106403010388, 0.0, 491.9349550499537, 550.0], [550.0, 560.8921464952064, 110.0, 453.54161881794266, 592.3681287847954, 491.9349550499537, 0.0, 550.0], [347.85054261852173, 110.0, 440.0, 155.56349186104046, 220.0, 550.0, 550.0, 0.0]]","[[0.0, 457.85054261852173, 1007.8505426185218, 1355.7010852370436, 787.8505426185218, 1389.7854976684755, 897.8505426185218, 347.85054261852173], [457.85054261852173, 0.0, 770.0, 1117.8505426185218, 330.0, 1151.9349550499537, 660.0, 110.0], [1007.8505426185218, 770.0, 0.0, 347.85054261852173, 1100.0, 601.9349550499537, 110.0, 660.0], [1355.7010852370436, 1117.8505426185218, 347.85054261852173, 0.0, 1447.8505426185218, 396.6106403010388, 457.85054261852173, 1007.8505426185218], [787.8505426185218, 330.0, 1100.0, 1447.8505426185218, 0.0, 1481.9349550499537, 990.0, 440.0], [1389.7854976684755, 1151.9349550499537, 601.9349550499537, 396.6106403010388, 1481.9349550499537, 0.0, 491.9349550499537, 1041.9349550499537], [897.8505426185218, 660.0, 110.0, 457.85054261852173, 990.0, 491.9349550499537, 0.0, 550.0], [347.85054261852173, 110.0, 660.0, 1007.8505426185218, 440.0, 1041.9349550499537, 550.0, 0.0]]"
1024C905,5,110,"[900, 900]",410.0,False,False,"[(440, 330), (440, 110), (440, 220), (660, 330), (110, 550), (330, 550), (660, 220), (550, 330)]","[[0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 1, 0, 0, 1], [0, 0, 0, 1, 0, 0, 1, 0], [0, 0, 1, 0, 0, 1, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 1, 0], [0, 0, 1, 0, 0, 1, 0, 1], [1, 1, 0, 0, 0, 0, 1, 0]]","[[0.0, 220.0, 110.0, 220.0, 396.6106403010388, 245.96747752497686, 245.96747752497686, 110.0], [220.0, 0.0, 110.0, 311.1269837220809, 550.0, 453.54161881794266, 245.96747752497686, 245.96747752497686], [110.0, 110.0, 0.0, 245.96747752497686, 466.6904755831214, 347.85054261852173, 220.0, 155.56349186104046], [220.0, 311.1269837220809, 245.96747752497686, 0.0, 592.3681287847954, 396.6106403010388, 110.0, 110.0], [396.6106403010388, 550.0, 466.6904755831214, 592.3681287847954, 0.0, 220.0, 641.404708432983, 491.9349550499537], [245.96747752497686, 453.54161881794266, 347.85054261852173, 396.6106403010388, 220.0, 0.0, 466.6904755831214, 311.1269837220809], [245.96747752497686, 245.96747752497686, 220.0, 110.0, 641.404708432983, 466.6904755831214, 0.0, 155.56349186104046], [110.0, 245.96747752497686, 155.56349186104046, 110.0, 491.9349550499537, 311.1269837220809, 155.56349186104046, 0.0]]","[[0.0, 355.96747752497686, 485.56349186104046, 731.5309693860173, 905.9674775249769, 732.2539674441618, 265.56349186104046, 110.0], [355.96747752497686, 0.0, 621.5309693860173, 867.4984469109942, 550.0, 868.2214449691387, 401.5309693860173, 245.96747752497686], [485.56349186104046, 621.5309693860173, 0.0, 245.96747752497686, 1171.5309693860172, 642.5781178260156, 220.0, 375.56349186104046], [731.5309693860173, 867.4984469109942, 245.96747752497686, 0.0, 1417.498446910994, 396.6106403010388, 465.96747752497686, 621.5309693860173], [905.9674775249769, 550.0, 1171.5309693860172, 1417.498446910994, 0.0, 1418.2214449691387, 951.5309693860173, 795.9674775249769], [732.2539674441618, 868.2214449691387, 642.5781178260156, 396.6106403010388, 1418.2214449691387, 0.0, 466.6904755831214, 622.2539674441618], [265.56349186104046, 401.5309693860173, 220.0, 465.96747752497686, 951.5309693860173, 466.6904755831214, 0.0, 155.56349186104046], [110.0, 245.96747752497686, 375.56349186104046, 621.5309693860173, 795.9674775249769, 622.2539674441618, 155.56349186104046, 0.0]]"
1024C905,6,110,"[900, 900]",410.0,False,False,"[(110, 550), (440, 220), (550, 220), (220, 440), (440, 330), (440, 440), (550, 770), (770, 330)]","[[0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 1, 0, 0, 1], [0, 0, 0, 1, 0, 0, 1, 0], [0, 0, 1, 0, 0, 1, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 1, 0], [0, 0, 1, 0, 0, 1, 0, 1], [1, 1, 0, 0, 0, 0, 1, 0]]","[[0.0, 466.6904755831214, 550.0, 155.56349186104046, 396.6106403010388, 347.85054261852173, 491.9349550499537, 695.7010852370435], [466.6904755831214, 0.0, 110.0, 311.1269837220809, 110.0, 220.0, 560.8921464952064, 347.85054261852173], [550.0, 110.0, 0.0, 396.6106403010388, 155.56349186104046, 245.96747752497686, 550.0, 245.96747752497686], [155.56349186104046, 311.1269837220809, 396.6106403010388, 0.0, 245.96747752497686, 220.0, 466.6904755831214, 560.8921464952064], [396.6106403010388, 110.0, 155.56349186104046, 245.96747752497686, 0.0, 110.0, 453.54161881794266, 330.0], [347.85054261852173, 220.0, 245.96747752497686, 220.0, 110.0, 0.0, 347.85054261852173, 347.85054261852173], [491.9349550499537, 560.8921464952064, 550.0, 466.6904755831214, 453.54161881794266, 347.85054261852173, 0.0, 491.9349550499537], [695.7010852370435, 347.85054261852173, 245.96747752497686, 560.8921464952064, 330.0, 347.85054261852173, 491.9349550499537, 0.0]]","[[0.0, 1043.5516278555651, 1737.6360402869973, 1755.4865829055188, 1153.5516278555651, 1535.4865829055188, 1187.6360402869973, 695.7010852370435], [1043.5516278555651, 0.0, 1389.7854976684755, 1407.6360402869973, 110.0, 1187.6360402869973, 839.7854976684755, 347.85054261852173], [1737.6360402869973, 1389.7854976684755, 0.0, 396.6106403010388, 1499.7854976684755, 616.6106403010388, 550.0, 1041.9349550499537], [1755.4865829055188, 1407.6360402869973, 396.6106403010388, 0.0, 1517.6360402869973, 220.0, 567.8505426185218, 1059.7854976684755], [1153.5516278555651, 110.0, 1499.7854976684755, 1517.6360402869973, 0.0, 1297.6360402869973, 949.7854976684755, 457.85054261852173], [1535.4865829055188, 1187.6360402869973, 616.6106403010388, 220.0, 1297.6360402869973, 0.0, 347.85054261852173, 839.7854976684755], [1187.6360402869973, 839.7854976684755, 550.0, 567.8505426185218, 949.7854976684755, 347.85054261852173, 0.0, 491.9349550499537], [695.7010852370435, 347.85054261852173, 1041.9349550499537, 1059.7854976684755, 457.85054261852173, 839.7854976684755, 491.9349550499537, 0.0]]"
1024C905,7,110,"[900, 900]",410.0,False,False,"[(440, 440), (550, 770), (220, 440), (330, 440), (220, 770), (440, 330), (220, 550), (110, 660)]","[[0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 1, 0, 0, 1], [0, 0, 0, 1, 0, 0, 1, 0], [0, 0, 1, 0, 0, 1, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 1, 0], [0, 0, 1, 0, 0, 1, 0, 1], [1, 1, 0, 0, 0, 0, 1, 0]]","[[0.0, 347.85054261852173, 220.0, 110.0, 396.6106403010388, 110.0, 245.96747752497686, 396.6106403010388], [347.85054261852173, 0.0, 466.6904755831214, 396.6106403010388, 330.0, 453.54161881794266, 396.6106403010388, 453.54161881794266], [220.0, 466.6904755831214, 0.0, 110.0, 330.0, 245.96747752497686, 110.0, 245.96747752497686], [110.0, 396.6106403010388, 110.0, 0.0, 347.85054261852173, 155.56349186104046, 155.56349186104046, 311.1269837220809], [396.6106403010388, 330.0, 330.0, 347.85054261852173, 0.0, 491.9349550499537, 220.0, 155.56349186104046], [110.0, 453.54161881794266, 245.96747752497686, 155.56349186104046, 491.9349550499537, 0.0, 311.1269837220809, 466.6904755831214], [245.96747752497686, 396.6106403010388, 110.0, 155.56349186104046, 220.0, 311.1269837220809, 0.0, 155.56349186104046], [396.6106403010388, 453.54161881794266, 245.96747752497686, 311.1269837220809, 155.56349186104046, 466.6904755831214, 155.56349186104046, 0.0]]","[[0.0, 850.1522591189814, 662.1741321620793, 772.1741321620793, 1180.1522591189814, 863.3011158841603, 552.1741321620793, 396.6106403010388], [850.1522591189814, 0.0, 719.1051106789831, 829.1051106789831, 330.0, 920.232094401064, 609.1051106789831, 453.54161881794266], [662.1741321620793, 719.1051106789831, 0.0, 110.0, 1049.1051106789832, 265.56349186104046, 110.0, 265.56349186104046], [772.1741321620793, 829.1051106789831, 110.0, 0.0, 1159.1051106789832, 155.56349186104046, 220.0, 375.56349186104046], [1180.1522591189814, 330.0, 1049.1051106789832, 1159.1051106789832, 0.0, 1250.232094401064, 939.1051106789831, 783.5416188179427], [863.3011158841603, 920.232094401064, 265.56349186104046, 155.56349186104046, 1250.232094401064, 0.0, 311.1269837220809, 466.6904755831214], [552.1741321620793, 609.1051106789831, 110.0, 220.0, 939.1051106789831, 311.1269837220809, 0.0, 155.56349186104046], [396.6106403010388, 453.54161881794266, 265.56349186104046, 375.56349186104046, 783.5416188179427, 466.6904755831214, 155.56349186104046, 0.0]]"
1024C905,8,110,"[900, 900]",410.0,False,False,"[(660, 440), (550, 770), (440, 660), (660, 330), (330, 110), (770, 550), (550, 330), (110, 330)]","[[0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 1, 0, 0, 1], [0, 0, 0, 1, 0, 0, 1, 0], [0, 0, 1, 0, 0, 1, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 1, 0], [0, 0, 1, 0, 0, 1, 0, 1], [1, 1, 0, 0, 0, 0, 1, 0]]","[[0.0, 347.85054261852173, 311.1269837220809, 110.0, 466.6904755831214, 155.56349186104046, 155.56349186104046, 560.8921464952064], [347.85054261852173, 0.0, 155.56349186104046, 453.54161881794266, 695.7010852370435, 311.1269837220809, 440.0, 622.2539674441618], [311.1269837220809, 155.56349186104046, 0.0, 396.6106403010388, 560.8921464952064, 347.85054261852173, 347.85054261852173, 466.6904755831214], [110.0, 453.54161881794266, 396.6106403010388, 0.0, 396.6106403010388, 245.96747752497686, 110.0, 550.0], [466.6904755831214, 695.7010852370435, 560.8921464952064, 396.6106403010388, 0.0, 622.2539674441618, 311.1269837220809, 311.1269837220809], [155.56349186104046, 311.1269837220809, 347.85054261852173, 245.96747752497686, 622.2539674441618, 0.0, 311.1269837220809, 695.7010852370435], [155.56349186104046, 440.0, 347.85054261852173, 110.0, 311.1269837220809, 311.1269837220809, 0.0, 440.0], [560.8921464952064, 622.2539674441618, 466.6904755831214, 550.0, 311.1269837220809, 695.7010852370435, 440.0, 0.0]]","[[0.0, 1183.1461139393682, 1348.7426891137281, 1557.9866077422641, 1878.8471991764118, 1312.0191302172873, 1000.8921464952064, 560.8921464952064], [1183.1461139393682, 0.0, 1410.1045100626836, 1619.3484286912196, 695.7010852370435, 1373.3809511662428, 1062.2539674441618, 622.2539674441618], [1348.7426891137281, 1410.1045100626836, 0.0, 396.6106403010388, 2105.8055952997274, 642.5781178260156, 347.85054261852173, 787.8505426185218], [1557.9866077422641, 1619.3484286912196, 396.6106403010388, 0.0, 2315.049513928263, 245.96747752497686, 557.0944612470578, 997.0944612470578], [1878.8471991764118, 695.7010852370435, 2105.8055952997274, 2315.049513928263, 0.0, 2069.082036403286, 1757.9550526812054, 1317.9550526812054], [1312.0191302172873, 1373.3809511662428, 642.5781178260156, 245.96747752497686, 2069.082036403286, 0.0, 311.1269837220809, 751.1269837220809], [1000.8921464952064, 1062.2539674441618, 347.85054261852173, 557.0944612470578, 1757.9550526812054, 311.1269837220809, 0.0, 440.0], [560.8921464952064, 622.2539674441618, 787.8505426185218, 997.0944612470578, 1317.9550526812054, 751.1269837220809, 440.0, 0.0]]"
1024C905,9,110,"[900, 900]",410.0,False,False,"[(440, 770), (220, 440), (770, 330), (660, 110), (110, 440), (660, 660), (550, 770), (770, 220)]","[[0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 1, 0, 0, 1], [0, 0, 0, 1, 0, 0, 1, 0], [0, 0, 1, 0, 0, 1, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 1, 0], [0, 0, 1, 0, 0, 1, 0, 1], [1, 1, 0, 0, 0, 0, 1, 0]]","[[0.0, 396.6106403010388, 550.0, 695.7010852370435, 466.6904755831214, 245.96747752497686, 110.0, 641.404708432983], [396.6106403010388, 0.0, 560.8921464952064, 550.0, 110.0, 491.9349550499537, 466.6904755831214, 592.3681287847954], [550.0, 560.8921464952064, 0.0, 245.96747752497686, 669.1038783328041, 347.85054261852173, 491.9349550499537, 110.0], [695.7010852370435, 550.0, 245.96747752497686, 0.0, 641.404708432983, 550.0, 669.1038783328041, 155.56349186104046], [466.6904755831214, 110.0, 669.1038783328041, 641.404708432983, 0.0, 592.3681287847954, 550.0, 695.7010852370435], [245.96747752497686, 491.9349550499537, 347.85054261852173, 550.0, 592.3681287847954, 0.0, 155.56349186104046, 453.54161881794266], [110.0, 466.6904755831214, 491.9349550499537, 669.1038783328041, 550.0, 155.56349186104046, 0.0, 592.3681287847954], [641.404708432983, 592.3681287847954, 110.0, 155.56349186104046, 695.7010852370435, 453.54161881794266, 592.3681287847954, 0.0]]","[[0.0, 1233.7728372177785, 1725.7077922677322, 1939.3363290788188, 1343.7728372177785, 1389.3363290788188, 1233.7728372177785, 641.404708432983], [1233.7728372177785, 0.0, 1676.6712126195443, 1890.2997494306314, 110.0, 1340.2997494306314, 1184.7362575695909, 592.3681287847954], [1725.7077922677322, 1676.6712126195443, 0.0, 245.96747752497686, 1786.6712126195443, 647.4984469109942, 491.9349550499537, 1084.303083834749], [1939.3363290788188, 1890.2997494306314, 245.96747752497686, 0.0, 2000.2997494306314, 550.0, 705.5634918610405, 1297.931620645836], [1343.7728372177785, 110.0, 1786.6712126195443, 2000.2997494306314, 0.0, 1450.2997494306314, 1294.7362575695909, 702.3681287847954], [1389.3363290788188, 1340.2997494306314, 647.4984469109942, 550.0, 1450.2997494306314, 0.0, 155.56349186104046, 747.9316206458359], [1233.7728372177785, 1184.7362575695909, 491.9349550499537, 705.5634918610405, 1294.7362575695909, 155.56349186104046, 0.0, 592.3681287847954], [641.404708432983, 592.3681287847954, 1084.303083834749, 1297.931620645836, 702.3681287847954, 747.9316206458359, 592.3681287847954, 0.0]]"
